No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
67,Win,61–5–1,Shannon Landberg,TKO,"10 (10), 1:35","Feb 4, 2006","The Palace of Auburn Hills, Auburn Hills, Michigan, U.S.",
66,Win,60–5–1,John Long,TKO,9 (10),"Jul 30, 2005","Cobo Arena, Detroit, Michigan, U.S.",
65,Loss,59–5–1,Uriah Grant,RTD,"3 (12), 3:00","Apr 8, 2000","Joe Louis Arena, Detroit, Michigan, U.S.",Lost IBO cruiserweight title
64,Win,59–4–1,Nate Miller,UD,12,"Apr 10, 1999","MEN Arena, Manchester, England",Won vacant IBO cruiserweight title
63,Win,58–4–1,Jay Snyder,KO,"1 (10), 1:28","Nov 6, 1998","Joe Louis Arena, Detroit, Michigan, U.S.",
62,Win,57–4–1,Ed Dalton,KO,"5 (10), 2:47","Jan 31, 1997","Great Western Forum, Inglewood, California, U.S.",
61,Win,56–4–1,Karl Willis,KO,"5 (10), 2:45","Nov 29, 1996","Civic Center, Roanoke, Virginia, U.S.",
60,Win,55–4–1,Earl Butler,UD,10,"Sep 26, 1995","The Palace, Auburn Hills, Michigan, U.S.",
59,Win,54–4–1,Lenny LaPaglia,TKO,"1 (12), 2:55","Mar 31, 1995","Detroit, Michigan, U.S.",Won vacant WBU cruiserweight title
58,Win,53–4–1,Freddie Delgado,UD,12,"Feb 19, 1994","Coliseum, Charlotte, North Carolina, U.S.",Retained NABF cruiserweight title
57,Win,52–4–1,Dan Ward,TKO,"1 (12), 2:09","Jan 29, 1994","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won vacant NABF cruiserweight title
56,Win,51–4–1,Andrew Maynard,TKO,"1 (10), 2:34","Nov 6, 1993","Caesars Palace, Paradise, Nevada, U.S.",
55,Loss,50–4–1,Iran Barkley,SD,12,"Mar 20, 1992","Caesars Palace, Paradise, Nevada, U.S.",Lost WBA light heavyweight title
54,Win,50–3–1,Virgil Hill,UD,12,"Jun 3, 1991","Caesars Palace, Paradise, Nevada, U.S.",Won WBA light heavyweight title
53,Win,49–3–1,Ken Atkins,TKO,"3 (10), 2:08","Apr 6, 1991","Aloha Stadium, Honolulu, Hawaii, U.S.",
52,Win,48–3–1,Kemper Morton,KO,"2 (10), 2:02","Feb 11, 1991","Great Western Forum, Inglewood, California, U.S.",
51,Win,47–3–1,Michael Olajide,UD,12,"Apr 28, 1990","Etess Arena, Atlantic City, New Jersey, U.S.",Retained WBO super middleweight title
50,Draw,46–3–1,Sugar Ray Leonard,SD,12,"Jun 12, 1989","Caesars Palace, Paradise, Nevada, U.S.",Retained WBO super middleweight title;For WBC super middleweight title
49,Win,46–3,James Kinchen,MD,12,"Nov 4, 1988","Las Vegas Hilton, Winchester, Nevada, U.S.",Won NABF and inaugural WBO super middleweight titles
48,Loss,45–3,Iran Barkley,TKO,"3 (12), 2:39","Jun 6, 1988","Las Vegas Hilton, Winchester, Nevada, U.S.",Lost WBC middleweight title
